Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/019085a76ba7126fff22770d71bd901c325fc68ac55aa743327984e89f4b0134.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/0259d41720f7084716a3b2bbe34ac6d3021224420f81a4e839b0b3401e5ef29f.png | Prediction: goodware | Probability: 0.9041 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/027b1042621f86394fd7da27c5310e4906f41b96f6e5474875e63d39b32a9c11.png | Prediction: goodware | Probability: 0.9955 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/03641e5632673615f23b2a8325d7355c4499a40f47b6ae094606a73c56e24ad0.png | Prediction: goodware | Probability: 0.9171 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/0439628816cabe113315751e7113a9e9f720d7e499ffdd78acbac1ed8ba35887.png | Prediction: goodware | Probability: 0.8905 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/5663b2d4a4aec55d5d6fb507e3fdcb92ffc978d411de68b084c37f86af6d2e19.png | Prediction: goodware | Probability: 0.9413 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/58e61318aad78f21aa08c54c55d8f130b409de43cb776fdfa0ebb6edf3f09dc6.png | Prediction: goodware | Probability: 0.9523 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/becb74a8a71a324c78625aa589e77631633d0f15af1473dfe34eca06e7ec6b86.png | Prediction: goodware | Probability: 0.9999 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/2779937398506e8ad207f5b291ae53d8af82b9f2739b0508ae3e0cfc40ced092.png | Prediction: goodware | Probability: 0.9998 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/30964541572f322a20b541e2e5eedaa5f20f118995d4b9d4c5d5dda98f09f3d2.png | Prediction: goodware | Probability: 0.9693 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/36107f74be98f15a45ff716e37dad70f1ff9515bc72a0a1ec583b803c220aa92.png | Prediction: goodware | Probability: 0.6618 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/59979d3bc3d64500898f3c1fda833cc0f87db36b65f1bb4631e2ac1b232c8aad.png | Prediction: goodware | Probability: 0.9985 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/06c031f0d905cdeb0d9c172c27ae0c2d25bbf0d08db27a4aa98ec540a15306e7.png | Prediction: goodware | Probability: 0.7567 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/97a5fe1d2174e9d34cee8c1d6751bf01f99d8f40b1ae0bce205b8f2f0483225c.png | Prediction: goodware | Probability: 0.9753 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/ea7ed9bb14a7bda590cf3ff81c8c37703a028c4fdb4599b6a283d68fdcb2613f.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/eac776c3c83c9db1a770ffaf6df9e94611c8293cbd41cb9257148603b8f2be0b.png | Prediction: goodware | Probability: 0.9995 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/e54bbabcaed8ace734f53234a44ad1e697e9cd2252255b59906fc5e3322c1be6.png | Prediction: goodware | Probability: 0.9901 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/cacc32ab0a1880afd74a040e8211662789cb70b252c25cb2d5971b707455ff5d.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/ce734596c2b760aa4b3f340227dd9ec48204a96cf0464ad1a97ae648b0a40789.png | Prediction: goodware | Probability: 0.9911 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/ce77d116a074dab7a22a0fd4f2c1ab475f16eec42e1ded3c0b0aa8211fe858d6.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/222d68c03d96d230bc3829e86be8821f32960375b70388028a705a4986b8d9c6.png | Prediction: goodware | Probability: 0.9913 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/73aae05fab96290cabbe4b0ec561d2f6d79da71834509c4b1f4b9ae714159b42.png | Prediction: goodware | Probability: 0.9998 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/740992d40b84b10aa9640214a4a490e989ea7b869cea27dbbdef544bb33b1048.png | Prediction: goodware | Probability: 0.9998 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/6c803aac51038ce308ee085f2cd82a055aaa9ba24d08a19efb2c0fcfde936c34.png | Prediction: goodware | Probability: 0.9996 
--------------------------------------------------------------------------------------------------------------------
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/6c959cfb001fbb900958441dfd8b262fb33e052342948bab338775d3e83ef7f7.png | Prediction: goodware | Probability: 1.0000 
--------------------------------------------------------------------------------------------------------------------
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/cf4bf26b2d6f1c6055534bbe9decb579ef0180e0f8c467c1a26e2ead7567058a.png | Prediction: goodware | Probability: 0.9999 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/cf65cc6e4b2b0c3f602b16398c8c30c277b8cfaed689fe7cb61b92560d4e5b1b.png | Prediction: goodware | Probability: 0.5115 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/89c2d370bfa36f1d4c3e4f2ff36f966bafef3e1179319e3a4a0f2a344896bc41.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/8ef13ccf86c1ac1c2fef370a85b7c576afec11cf056c7d4ec288c126368f115c.png | Prediction: goodware | Probability: 1.0000 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/108243f61c53f00f8f1adcf67c387a8833f1a2149f063dd9ef29205c90a3c30a.png | Prediction: goodware | Probability: 0.9997 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/9a776b895e93926e2a758c09e341accb9333edc1243d216a5e53f47c6043c852.png | Prediction: goodware | Probability: 0.9954 
Item: /run/media/bbdcmf/T7/ITS490-Project/dataset/theZoo_Benign-NET/malware/48b1024f599c3184a49c0d66c5600385265b9868d0936134185326e2db0ab441.png | Prediction: goodware | Probability: 1.0000 
